hs2,hs2_desc,total_quantity
27,"Coal: anthracite, whether or not pulverised, but not agglomerated",20474183325.881527
26,Iron ores and concentrates: non-agglomerated,5561516694.842409
25,Salt (including table salt and denatured salt): pure sodium chloride whether or not in aqueous solution: sea water,2951436704.62099
72,"Iron: non-alloy pig iron containing by weight 0.5% or less of phosphorus, in pigs, blocks or other primary forms",1740854931.9600003
22,"Waters: mineral and aerated, including natural or artificial, (not containing added sugar or other sweetening matter nor flavoured)",1716315774.5360548
10,"Cereals: wheat and meslin, durum wheat, seed",1427714543.5159757
44,"Wood: for fuel, in logs, billets, twigs, faggots or similar forms, whether or not agglomerated",1095291621.3460636
39,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",777634408.9761466
29,Acyclic hydrocarbons: saturated,717205119.4637281
31,"Fertilizers, animal or vegetable: whether or not mixed together or chemically treated: fertilizers, produced by the mixing or chemical treatment of animal or vegetable products",700088236.2580194
