exporter_code,exporter_name,hs2,hs2_desc,total_value,total_quantity
156,China,85,Electric motors: of an output not exceeding 37.5W,2188289863.900397,62376106.96440659
156,China,84,Nuclear reactors,1356216518.5053778,87560174.26179852
156,China,94,Seats: of a kind used for aircraft,265467577.02118045,56292445.6964916
156,China,39,"Ethylene polymers: in primary forms, polyethylene having a specific gravity of less than 0.94",225755564.12304562,75805551.0091569
156,China,62,"Coats: men's or boys', overcoats, raincoats, car-coats, capes, cloaks and similar articles, of wool or fine animal hair, other than those of heading no. 6203 (not knitted or crocheted)",209911134.9290378,9856164.021333419
156,China,61,"Coats: men's or boys' overcoats, car-coats, capes, anoraks, wind-jackets and similar articles, of cotton, knitted or crocheted (excluding those of heading no. 6103)",202969275.06733635,12316785.310648547
156,China,95,"Tricycles, scooters, pedal cars and similar wheeled toys: dolls' carriages: dolls: other toys: reduced-size (scale) models and similar recreational models, working or not: puzzles of all kinds",200687121.80044222,18108607.975795604
156,China,90,"Optical fibres, optical fibre bundles and cables: excluding those of heading no. 8544",199807905.59098217,5588042.4461510135
156,China,87,Tractors: pedestrian controlled,199105726.66439706,33267194.243150398
156,China,73,"Iron or steel: sheet piling, whether or not drilled, punched or made from assembled elements",190308332.3721634,97262324.4330355
